sku,product_name,description,list_price_pkr,promo_price_pkr,availability_status,product_line
AP300,AquaPearl 300,Smart water purifier,85000,79900,In Stock,AquaPearl 300
AP500,AquaPearl 500 Pro,Premium smart water purifier,125000,114900,In Stock,AquaPearl 500 Pro
AP500-SED,AquaPearl 500 Pro Sediment Filter,Replacement sediment pre-filter,4500,3990,In Stock,AquaPearl 500 Pro
AP500-CARB,AquaPearl 500 Pro Carbon Filter,Replacement carbon filter,5200,4690,In Stock,AquaPearl 500 Pro
AP500-MEM,AquaPearl 500 Pro Membrane,Replacement membrane cartridge,9800,8990,In Stock,AquaPearl 500 Pro
AP500-BUNDLE,AquaPearl 500 Pro Filter Bundle,Complete three-stage replacement bundle,18500,15990,In Stock,AquaPearl 500 Pro
AP300-FILTER,AquaPearl 300 Filter,Replacement filter set,6200,5790,In Stock,AquaPearl 300
AP300-BUNDLE,AquaPearl 300 Filter Bundle,Two-filter maintenance bundle,10800,9990,In Stock,AquaPearl 300
APM,AeroPearl Mini,Compact air purifier,54000,49900,In Stock,AeroPearl Mini
APM-FILTER,AeroPearl Mini Filter,Replacement air filter,7500,6990,In Stock,AeroPearl Mini
AP100,AquaPearl 100,Discontinued water purifier,70000,,Discontinued,AquaPearl 100
AP100-FILTER,AquaPearl 100 Filter,Replacement filter for discontinued model,6500,,Limited Stock,AquaPearl 100
AC-FILTER,AeroPearl Classic Filter,Replacement filter for discontinued AeroPearl Classic,6800,,Limited Stock,AeroPearl Classic
